sd,pd,os,bs,target_co_simplified,target_pr_simplified
use of issue templates for eclipse iceoryx,Community,All,CLOSED,GitHub,P3
invalid code generated for integer literal -2147483648,z_Archived,All,CLOSED,Other,P3
[release] modeling.emf-parsley 1.9.0,Community,All,RESOLVED,Proposals and Reviews,P3
"[releng] merge tycho ""core"" and tycho-extras repos and builds",z_Archived,All,RESOLVED,Tycho,P3
code formatter throws an exception when launched from command line,CDT,Linux,NEW,Other,P3
[terminate] modeling.mdt.modisco,Community,Linux,RESOLVED,Proposals and Reviews,P3
migrate to emfforms 1.22,Apogy,Linux,RESOLVED,General,P3
[terminate] modeling.emft.emf-facet,Community,Linux,RESOLVED,Proposals and Reviews,P3
permission denied on jetty jipp with script file that has not changed,Community,Linux,CLOSED,CI-Jenkins,P3
cannot register new e-mail address,Community,All,CLOSED,Other,P3
forum subscription emails do not contain base path,Community,All,RESOLVED,Other,P3
testjarsign fails in i20191027-1800,Platform,Windows 7,RESOLVED,Releng,P3
[xtext] issues with building/pushing simrel,Community,Mac OS X,CLOSED,CI-Jenkins,P3
remove the icompilationunitcontext,JDT,All,VERIFIED,UI,P3
webclient: all urls routed by angular have to fallback to index.html,MDMBL,All,CLOSED,General,P3
[14] records - code generation,JDT,Mac OS X,RESOLVED,Core,P3
use api generation app directly instead of ant,Platform,All,RESOLVED,Releng,P3
secure storage writen with 2019-03 or later cannot be read by older versions: salt must be 8 bytes long,Equinox,Linux,RESOLVED,Other,P3
[db] getindexinfo with approximate=false triggers table analyze on oracle,EMF,Windows 7,RESOLVED,Other,P3
create cleanup script for equinox downloads,Platform,Windows 10,RESOLVED,Releng,P3
cdoserverexporter does not release the session,EMF,Windows 10,CLOSED,Other,P3
create updateindex script for jiro,Platform,Windows 10,CLOSED,Releng,P3
[10.15] some categories in tree not displaying in preferencedialog on macos 10.15,Platform,Mac OS X,RESOLVED,SWT,P3
[passage] support emf annotations as a source of licensing requirements,Passage,All,NEW,General,P3
[passage] support license checks and functionality constraints for emfforms,Passage,All,NEW,General,P3
opening a cfb inside another one there's a java.lang.nullpointerexception,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
ui freeze in hyperlinkdetectordelegate.detecthyperlinks,Platform,Linux,NEW,UI,P3
plugin configuration dialog run level spinner truncated on gtk,PDE,Linux,VERIFIED,UI,P3
jipp help for esf,Community,All,CLOSED,CI-Jenkins,P3
"[resource]  warning against '<unassigned closeable value>' is weakened to ""potential"" inside ""if""",JDT,Windows 10,RESOLVED,Core,P3
jenkins for eclipse glsp,Community,Linux,CLOSED,CI-Jenkins,P3
merge selected bundle attributes from eclipse and osgi launch configs,PDE,Windows 10,VERIFIED,UI,P3
build failure - org.eclipse.jst.j2ee.ejb.annotations.ui needs to move bree up to java se 8,WTP Java EE Tools,Windows 7,RESOLVED,Other,P3
openj9: master restarting itself,Community,Linux,CLOSED,CI-Jenkins,P3
add git repositories dialog - enter in the directory field should trigger search,EGit,Linux,NEW,UI,P3
must create the window menu if not present in main menu to display the spies,e4,Mac OS X,RESOLVED,UI,P3
exception when creating new cfb type,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
code generation fault when using optional field in value redirect,z_Archived,All,CLOSED,Other,P3
[release] iot.californium 2.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
"[robotics, releng] update esf references in target platform",Papyrus,All,RESOLVED,Other,P3
advancedpatternparser does not handle correctly when a pattern is removed during a file update,Viatra,Mac OS X,RESOLVED,Other,P3
doubleclickevent only fired in first column of tableviewer,Platform,Windows All,NEW,UI,P3
[clean up] npe in unboxingcleanup,JDT,All,VERIFIED,UI,P3
i20191029-1800 build failure,Platform,Windows 10,RESOLVED,Releng,P3
i20191029-1800 nightly build failed,Platform,Windows 7,CLOSED,Releng,P3
[junit 5] cannot run tests inside secondary types,JDT,Mac OS X,CLOSED,UI,P3
tycho uses different parsing for product files,z_Archived,All,NEW,Tycho,P3
ability to resolve workspace_loc:/projectname/... urls,z_Archived,All,NEW,Tycho,P3
mac app signing service is down,CBI,Windows 10,CLOSED,Other,P3
[14] [model] records - recordcomponentelement delta,JDT,Mac OS X,VERIFIED,Other,P3
xss in memory analyzer plugin for eclipse,Community,All,RESOLVED,Other,P3
eclipse.exe stopped working,PDE,Windows 10,RESOLVED,Other,P3
could not lock config file /home/jenkins/.gitconfig: permission denied,Community,Mac OS X,CLOSED,CI-Jenkins,P3
"change default for ""always show welcome at start up"" welcome page",Platform,Linux,RESOLVED,Other,P3
add jaxen 1.1.6 to orbit,Orbit,Windows 10,RESOLVED,Other,P3
[gtk] drawing artifact,Platform,Linux,NEW,SWT,P3
with auto complete eclipse stucks and does not restart without kill it and open it again,JDT,Windows 10,NEW,Core,P3
repository browser text cut off,Oomph,Linux,RESOLVED,Other,P3
create a script to get eclipse platform product from latest release,Platform,Windows 10,RESOLVED,Releng,P3
root folder required for project imports error not updated as it seems,Oomph,Linux,RESOLVED,Other,P3
develop scripts to add to repo and delete from repo for jiro use,Platform,Windows 10,RESOLVED,Releng,P3
[code mining] reduce distraction by adding placeholder entries,JDT,All,CLOSED,Text,P3
[minmaxaddon] part icon not updated when seticonuri is called,Platform,Windows 10,RESOLVED,UI,P3
[mac] font too large on changed files in package explorer,Platform,Mac OS X,NEW,SWT,P3
fix warnings,NatTable,Windows 10,CLOSED,Core,P3
tycho-p2-repository-plugin filenotfoundexception for artifacts.jar,z_Archived,Windows 10,CLOSED,Tycho,P3
adding code metric calculation to ide,4DIAC,All,CLOSED,4DIAC-IDE,P3
expressions view: provide api for other languages (like groovy),JDT,All,NEW,Debug,P3
unify variables and expressions view,JDT,All,NEW,Debug,P3
eclipse freezes while debugging (a tomcat application),JDT,Windows 10,CLOSED,Debug,P3
[moka] the trace generation service should allow to select the name of the generated file,Papyrus,Linux,CLOSED,Other,P3
align hideshow layer interfaces,NatTable,Windows 10,CLOSED,Core,P3
[chain] remove unnecessary error log messages,JDT,Linux,VERIFIED,UI,P3
nosuchfieldexception: thread_daemon_suspended_exception_uncaught,JDT,All,RESOLVED,Debug,P3
eclipse crashes with reference count error message cairo_surface_destroy,GMF-Runtime,Linux,RESOLVED,General,P3
saving a subbapp as type creates double connections,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
support int[] handling in positionutil,NatTable,Windows 10,CLOSED,Core,P3
[osgi r8] implement osgi connect,Equinox,Mac OS X,RESOLVED,Other,P3
"classcastexception; an internal error occurred during: ""debug has children update"".",lsp4e,Linux,RESOLVED,Other,P3
filter converted data,NatTable,Windows 10,CLOSED,Other,P3
[propertiesview] not possible to enter multi-line fields for string attributes in the profile tab of the property view.,Papyrus,Linux,NEW,Other,P3
[dark theme] remove special styling for widgets if the part is active,Platform,Linux,RESOLVED,UI,P3
[dark theme] always style shell,Platform,Linux,RESOLVED,UI,P3
add eclipse tools day grenoble,z_Archived,Mac OS X,RESOLVED,Other,P3
increase minor version of plugins due to change in minimum bree,WTP Webservices,Mac OS X,ASSIGNED,Other,P3
change metric analysis result presentation to table,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
expand metric analysis to cfbs and subapps,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
"allow metric analysis for types (fb, subapp) and subapps in applications",4DIAC,Linux,CLOSED,4DIAC-IDE,P3
eclipse installer freeze my computer forcing me to manual restart,Platform,Windows 10,NEW,IDE,P3
contribute eclipse and equinox to simrel for 4.14 m2,Platform,Windows 7,RESOLVED,Releng,P3
provide better support for git.eclipse.org redirections,Oomph,Windows 7,RESOLVED,Other,P3
some tests and itest uses deprecated  tycho.targetplatform,z_Archived,All,RESOLVED,Tycho,P3
linux machine is down,Community,Windows 7,CLOSED,CI-Jenkins,P3
remove repo eclipse-theia/theia-apps and check permissions,Community,Linux,CLOSED,GitHub,P3
junit tests fail on eclipse kura,Community,Mac OS X,CLOSED,CI-Jenkins,P3
grant access to projects storage service to the jenkins instance of project microprofile,Community,Mac OS X,CLOSED,CI-Jenkins,P3
make frameworkextensioninstaller.addextensioncontent work for the built-in app class loader on java 9+,Equinox,Mac OS X,RESOLVED,Other,P3
eclipse oxygen crashes after start,Platform,Windows 10,RESOLVED,IDE,P3
eclipse oxygen crashes after start,JDT,Windows 10,CLOSED,Core,P3
add command definitions for pemicro gdb server,CDT,All,RESOLVED,Other,P3
"generate code ux : need a quick add usual wizard with defaults (constructors, tostr, get-setters ...)",JDT,Linux,NEW,Core,P3
[runtime.c] compilation of c runtimes fails under latest ubuntu,eTrice,Windows 10,RESOLVED,Runtime,P3
setup a codewind slave and add it as an agent to codewind jipp,Community,All,CLOSED,CI-Jenkins,P3
api tools error message in swt,Platform,All,VERIFIED,SWT,P3
right click doesn't show the whole menu in some cases,Papyrus,Windows 10,CLOSED,Diagram,P3
versioning problem in swt.,Platform,All,CLOSED,SWT,P3
swt project settings for all versioning issues should be error,Platform,All,VERIFIED,SWT,P3
update incrementalprojectbuilder api to add builder dependent arguments,Platform,All,RESOLVED,Other,P3
"[1.8][null] avoid creating redundant @nonnull in ""move instance method""",JDT,Mac OS X,RESOLVED,UI,P3
add bouncycastle bcpg bcpkix bcprov 1.64,Orbit,Mac OS X,RESOLVED,Other,P3
hit oom (java.lang.outofmemoryerror),BIRT,Linux,NEW,Other,P3
split function removed in php 7,Babel,All,RESOLVED,Other,P3
[13] 23 leak test failures in i-build with java 13,JDT,Linux,VERIFIED,UI,P3
junit test filteringasynccontentassisttests.testca_withfirstdelayedthenimmediateproposals fails in nightly builds,Platform,Windows 10,NEW,Text,P3
junit test leaktests.testsimplewindowleak fails in nightly build,Platform,Windows 10,NEW,UI,P3
filters dialog: several alignment errors,Platform,Windows 10,RESOLVED,UI,P3
[cocoa] test_org_eclipse_swt_custom_styledtext.test_setstyleranges_render junit failure seen on mac,Platform,Mac OS X,VERIFIED,SWT,P3
error at the first code assistant request [cannot download model repository index],Platform,Windows 10,CLOSED,IDE,P3
deploy ecj compiler from i20191101-0300 and use it for 4.14 build,Platform,Windows 7,RESOLVED,Releng,P3
"investigate ""java builder"" removal from apianalysisapplication",PDE,Windows 7,REOPENED,Other,P3
batch processing improvements,MAT,Windows 10,RESOLVED,Other,P3
wrong use of model object in staging view (repositorynode),EGit,All,RESOLVED,UI,P3
please close prs on cdt's github mirror,Community,Linux,RESOLVED,GitHub,P3
jenkins instance for eclipse collections seems to be down or moved,Community,Windows 10,CLOSED,CI-Jenkins,P3
update tries to create sub-directory incorrectly,Oomph,Windows 10,RESOLVED,Other,P3
properties labels not displaying correctly,Sirius,Windows 10,CLOSED,Other,P3
can bots be added as a validated user on github for eca purposes?,Community,Linux,NEW,GitHub,P3
jenkins for eclipse emf.cloud,Community,Linux,CLOSED,CI-Jenkins,P3
bug launch bar,Platform,Windows 7,NEW,IDE,P3
jgit leaves files in state removed on remote file repo when pushing from another file repo,JGit,Linux,CLOSED,JGit,P3
support rollback of new objects to their attach-time state,EMF,Windows 7,CLOSED,Other,P3
please fix the problems associated with your simrel contribution,Sirius,All,RESOLVED,Releng,P3
mac notarization service is failing,Community,Windows 7,RESOLVED,CI-Jenkins,P3
some files not refreshed after interactive rebase,JGit,Mac OS X,RESOLVED,JGit,P3
please remove me from eclipse-cdt,Community,Mac OS X,NEW,GitHub,P3
please fix the problems associated with your simrel contribution,EMFCompare,Windows 7,CLOSED,Core,P3
[tools] application model editor should derive possible elements from the emf model,Platform,All,NEW,UI,P3
cce in commitmessageviewer when preferences are set to default,EGit,All,RESOLVED,UI,P3
support reproducible builds by sorting generated javax.inject.named index,Sisu,All,RESOLVED,Other,P3
import quickfix reorders all classes in room file,eTrice,Windows 10,RESOLVED,Other,P3
create github repository for eclipse-ee4j/glassfish-samples,Community,Windows 10,CLOSED,Other,P3
nullpointerexception in aspected code with two @around annotations working together,AspectJ,Linux,CLOSED,Runtime,P3
cannot suspend nor stop gdb,PDE,Windows 10,RESOLVED,Build,P3
jdt debug needs to react to asm 7.2,JDT,All,VERIFIED,Debug,P3
the resize hot zone is painfully small for the simple installer,Oomph,Windows 7,RESOLVED,Other,P3
include eclipse passage 0.7.0 m2 for simrel 2019-12 m2,Passage,All,RESOLVED,General,P3
content assist popup in textcelleditor steals focus from cell editor,NatTable,Windows All,CLOSED,Core,P3
[progress] progress bar flicker on windows,Platform,Windows All,RESOLVED,UI,P3
unchanged files shown as dirty,EGit,Windows 10,CLOSED,UI,P3
[dark theme] progressinfoitem and compareviewerpane should inherit its color from its container,Platform,Linux,RESOLVED,UI,P3
[dark theme] align ruler color with standard colors,Platform,Linux,RESOLVED,Text,P3
migrate check composites script,Platform,Windows 10,RESOLVED,Releng,P3
migrate old builds cleanup job to jiro,Platform,Windows 10,RESOLVED,Releng,P3
uri scheme registration doesn't work well on mac,Platform,Mac OS X,RESOLVED,UI,P3
[menumanagerrendererfilter] menumanager contributed via menucontribution is disabled,Platform,All,RESOLVED,UI,P3
[rule model] add condition indirection,ECP,All,NEW,EMF Forms,P3
catalogattribute unit is not set when loading from ods.,MDMBL,Windows 10,ASSIGNED,General,P3
find action should use search style,Platform,Linux,REOPENED,UI,P3
exception in find actions for opening layout spy (from pde),Platform,Linux,NEW,UI,P3
[tmf] concurrentmodificationexception in statesystemdataprovider,Tracecompass,Linux,RESOLVED,Other,P3
unable to retrieve dependencies from nexus repository manager using https protocol,z_Archived,Windows 7,NEW,m2e,P3
remove org.eclipse.e4.ui.css.core.utils.stringutils#split(),Platform,Linux,RESOLVED,UI,P3
[databinding] fluent binding api,Platform,All,ASSIGNED,UI,P3
link method element clear button greyed out,EPF,Windows 7,NEW,Other,P3
[model2doc][odt] the framework must allow insert image on landscape page and with the max possible size.,Papyrus,Windows 10,ASSIGNED,Model2Doc,P3
"add documentation for display of bytes in kb, mb, gb or smart formats",MAT,All,RESOLVED,Other,P3
when trying to ssh into projects-storage.eclipse.org the build hangs indefinitely,Community,Windows 10,CLOSED,CI-Jenkins,P3
eclipse foundation's ide web page should be updated to show theia,Community,Windows 10,RESOLVED,Website,P3
apply a redirect for builds,Community,Windows 10,CLOSED,CI-Jenkins,P3
[xtext] eca validation for prs opened by genie bot fails,Community,Mac OS X,CLOSED,CI-Jenkins,P3
